week,ny_futures,cotlook_a,china_b,yarn_index,shankar6,forex,week_key
2018-10-05,76.49,85.35,95.01,135.1,45500,73.77,2018-10-01
2018-10-12,78.37,86.15,93.85,135.07,47000,73.77,2018-10-08
2018-10-19,77.92,87.25,92.91,135.05,46900,73.4,2018-10-15
2018-10-26,78.83,86.8,92.25,135.0,47300,73.43,2018-10-22
2018-11-02,78.79,88.6,91.48,133.06,46500,72.46,2018-10-29
2018-11-09,78.09,88.35,91.24,132.87,46400,72.55,2018-11-05
2018-11-16,76.12,86.3,91.02,132.8,46600,71.95,2018-11-12
2018-11-23,74.92,86.15,90.7,132.76,45500,70.82,2018-11-19
2018-11-30,77.16,86.55,90.15,129.26,44400,69.66,2018-11-26
2018-12-07,80.23,87.25,90.94,129.14,44900,70.81,2018-12-03
2018-12-14,79.6,87.75,90.88,127.83,44800,71.97,2018-12-10
2018-12-21,73.18,83.4,90.73,127.79,44000,70.15,2018-12-17
2018-12-28,72.19,80.55,90.87,127.79,43600,69.92,2018-12-24
2019-01-04,72.52,79.7,90.75,125.48,43900,69.73,2018-12-31
2019-01-11,72.49,82.4,91.64,124.47,43500,70.51,2019-01-07
2019-01-18,73.89,83.8,92.05,125.45,43500,71.19,2019-01-14
2019-01-25,74.13,82.6,91.8,124.67,43500,71.19,2019-01-21
2019-02-01,73.64,83.75,93.0,124.67,43400,71.25,2019-01-28
2019-02-08,72.55,82.05,93.0,124.95,43100,71.31,2019-02-04
2019-02-15,70.22,79.95,92.19,124.95,42700,71.23,2019-02-11
2019-02-22,71.84,82.25,92.89,124.69,42700,71.15,2019-02-18
2019-03-01,72.73,80.85,93.15,124.69,42700,70.92,2019-02-25
2019-03-08,73.49,82.25,92.87,124.71,42900,70.15,2019-03-04
2019-03-15,75.5,83.05,93.21,124.71,44000,69.1,2019-03-11
2019-03-22,76.58,86.4,93.65,124.71,44900,68.96,2019-03-18
2019-03-29,77.61,85.3,93.21,126.28,45200,69.16,2019-03-25
2019-04-05,78.25,86.9,93.6,126.38,46800,69.13,2019-04-01
2019-04-12,78.11,86.7,94.3,126.37,47000,69.16,2019-04-08
2019-04-19,77.31,88.25,94.77,130.18,46900,69.61,2019-04-15
2019-04-26,76.75,87.7,94.14,130.17,47100,70.02,2019-04-22
2019-05-03,74.78,84.95,94.09,130.17,46700,69.22,2019-04-29
2019-05-10,68.45,80.7,92.99,129.98,45500,69.92,2019-05-06
2019-05-17,65.99,77.35,88.52,127.41,44800,70.23,2019-05-13
2019-05-24,68.39,78.5,86.2,125.94,45600,69.54,2019-05-20
2019-05-31,68.08,80.35,85.99,125.52,46500,69.68,2019-05-27
2019-06-07,65.59,79.35,83.89,125.08,46000,69.48,2019-06-03
2019-06-14,66.0,77.8,83.73,124.03,46000,69.78,2019-06-10
2019-06-21,61.19,76.85,84.48,123.88,45800,69.56,2019-06-17
2019-06-28,63.15,77.0,84.13,123.32,45800,69.02,2019-06-24
2019-07-05,63.44,78.35,84.41,123.28,44900,68.42,2019-07-01
2019-07-12,62.36,74.05,83.73,122.59,44000,68.69,2019-07-08
2019-07-19,62.25,72.95,82.99,122.56,44400,68.82,2019-07-15
2019-07-26,64.24,75.4,83.04,122.57,44200,68.91,2019-07-22
2019-08-02,58.94,73.4,82.65,122.54,43300,69.61,2019-07-29
2019-08-09,59.05,71.0,78.89,119.8,41800,70.8,2019-08-05
2019-08-16,60.08,70.9,78.32,119.77,43000,71.16,2019-08-12
2019-08-23,57.97,70.3,77.74,119.74,43200,71.82,2019-08-19
2019-08-30,59.05,70.35,74.37,119.72,42300,71.42,2019-08-26
2019-09-06,58.73,70.65,74.25,119.33,41700,71.73,2019-09-02
2019-09-13,61.63,73.55,74.3,118.02,42300,70.94,2019-09-09
2019-09-20,59.13,71.25,74.6,118.02,41900,70.95,2019-09-16
2019-09-27,59.82,71.15,73.96,118.01,41400,70.57,2019-09-23
2019-10-04,60.59,72.25,72.28,118.47,41400,70.9,2019-09-30
2019-10-11,63.88,71.75,72.63,118.47,40900,71.02,2019-10-07
2019-10-18,65.16,75.45,73.05,118.48,39600,71.16,2019-10-14
2019-10-25,64.9,75.25,73.08,118.48,39700,70.89,2019-10-21
2019-11-01,64.23,75.25,74.17,118.49,39700,70.82,2019-10-28
2019-11-08,64.72,75.7,74.88,117.21,39500,71.29,2019-11-04
2019-11-15,64.86,74.9,75.08,117.23,38800,71.98,2019-11-11
2019-11-22,61.84,73.4,75.05,117.22,38800,71.72,2019-11-18
2019-11-29,64.4,75.0,75.4,117.19,39000,71.75,2019-11-25
2019-12-06,65.0,73.9,75.59,117.13,39200,71.21,2019-12-02
2019-12-13,66.8,76.4,76.87,117.11,39500,70.82,2019-12-09
2019-12-20,67.96,76.65,77.56,117.08,39600,71.13,2019-12-16
2019-12-27,68.92,77.65,77.96,117.08,39600,71.36,2019-12-23
2020-01-03,69.2,78.1,80.15,117.11,39900,71.82,2019-12-30
