week,predicted_candy_rate_p10,predicted_candy_rate_p25,predicted_candy_rate_median,predicted_candy_rate_p75,predicted_candy_rate_p90
1/26/26,54877.734,55735.2,57021.4,58307.594,59636.664
2/2/26,54449.004,55306.465,57021.4,57878.86,59636.664
2/9/26,54020.27,54877.734,56163.934,57128.582,58736.324
2/16/26,53548.664,54449.004,55949.566,57557.312,58736.324
2/23/26,53162.81,54449.004,55735.2,57450.13,59207.93
3/2/26,53162.81,54449.004,55306.465,56592.664,57921.734
3/9/26,52691.203,54020.27,55306.465,56699.848,58350.47
3/16/26,51833.734,53591.54,54877.734,56592.664,58350.47
3/23/26,51876.61,53591.54,54877.734,56592.664,58736.324
3/30/26,52262.47,53162.81,54449.004,55735.2,57878.86
4/6/26,51876.61,53162.81,54020.27,55735.2,57878.86
4/13/26,51447.875,52734.074,54020.27,55413.65,57021.4
