week,chronos_median,weather_adjustment,predicted_candy_rate_p10,predicted_candy_rate_p25,predicted_candy_rate_median,predicted_candy_rate_p75,predicted_candy_rate_p90
2026-01-26,57021.4,-900.7761733107326,53976.95820168927,55263.15742043927,56120.62226418927,57406.81757668927,59164.61835793927
2026-02-02,56592.664,-992.7612531017086,53456.24265314829,54742.43796564829,55599.90280939829,57422.01609064829,59887.22312189829
2026-02-09,56592.664,-992.7612531017086,52598.77780939829,53884.97312189829,55599.90280939829,56886.09812189829,58258.04343439829
2026-02-16,55949.566,-1308.4960394355235,52240.16802306448,53140.50786681448,54641.07036681448,56141.63286681448,57899.43364806448
2026-02-23,55735.2,-1308.4960394355235,51425.57817931448,53140.50786681448,54426.70317931448,55820.08599181448,57427.82817931448
2026-03-02,55735.2,-1308.4960394355235,51811.43755431448,53140.50786681448,54426.70317931448,56141.63286681448,57899.43364806448
2026-03-09,55306.465,-1443.297236919655,51719.51135683034,52576.97229433034,53863.16760683034,55578.10120058034,57293.02698183034
2026-03-16,54877.734,-788.2680217634412,51517.07572823656,52374.54057198656,54089.46635323656,55375.66557198656,57519.32572823656
2026-03-23,54877.734,-374.72121879029766,52316.4819062097,53216.8178437097,54503.0131562097,55789.2123749597,57932.8725312097
2026-03-30,54449.004,-1048.1645390016674,51257.179210998336,52114.644054748336,53400.839367248336,55115.769054748336,57688.159679748336
2026-04-06,54449.004,-1312.4661100556973,50564.1432649443,51850.3424836943,53136.5377961943,54529.9167024443,56566.3932649443
2026-04-13,54020.27,-1209.6026270635177,50152.52627918648,51953.20596668648,52810.66690418648,54204.04581043648,55854.67081043648
