week,state,chronos_median,weather_adjustment,predicted_p10,predicted_p25,predicted_median,predicted_p75,predicted_p90
2026-01-26,Maharashtra,57204.926,75.5693216495938,56433.01463414959,56856.75291539959,57280.49510289959,58127.97166539959,58975.45213414959
2026-02-02,Maharashtra,57204.926,325.8752362845037,55412.097892534504,56259.582267534504,57530.801017534504,58378.277580034504,60073.238517534504
2026-02-09,Maharashtra,56781.184,75.5693216495938,54314.31150914959,55585.53416539959,56856.75291539959,58233.90525914959,60246.67088414959
2026-02-16,Maharashtra,57204.926,-380.3980056690249,54239.70746308097,55553.30902558097,56824.52777558097,58095.74652558097,60638.19183808097
2026-02-23,Maharashtra,57204.926,-380.3980056690249,54282.08246308097,55553.30902558097,56824.52777558097,58943.22699433097,62799.26605683097
2026-03-02,Maharashtra,57628.664,-380.3980056690249,53858.34418183097,55553.30902558097,57248.26605683097,59049.16058808097,61994.15668183097
2026-03-09,Maharashtra,57628.664,574.2170030524811,54812.95919055248,56084.18184680248,58202.88106555248,60321.58028430248,62948.77169055248
2026-03-16,Maharashtra,57628.664,588.5582996432296,54827.30048714323,56098.52314339323,58217.22236214323,59912.18329964323,63810.59736214323
2026-03-23,Maharashtra,57628.664,826.4932039211122,55022.86039142111,56760.20023517111,58455.15726642111,60150.11820392111,64048.53226642111
2026-03-30,Maharashtra,57204.926,-1041.2782979037677,52773.725608346234,54468.686545846234,56163.647483346234,58706.084983346234,62562.124045846234
2026-04-06,Maharashtra,57416.797,-380.3980056690249,53434.60590058097,55129.56683808097,57036.39886933097,60214.44574433097,64960.33636933097
2026-04-13,Maharashtra,57416.797,-380.3980056690249,53392.23090058097,55129.56683808097,57036.39886933097,59790.70355683097,65807.82074433098
2026-01-26,Gujarat,59385.484,-598.9232372239869,54035.721294026014,56665.650981526014,58786.561137776014,60907.475200276014,62604.201762776014
2026-02-02,Gujarat,59385.484,968.966137673231,53567.54035642323,56536.81379392323,60354.45051267323,62899.54816892323,66335.41926267323
2026-02-09,Gujarat,58537.12,968.966137673231,52294.99348142323,57279.13020017323,59506.08723142323,63853.95832517323,67226.20051267323
2026-02-16,Gujarat,58961.3,-861.1903335507012,51313.2002914493,54176.4268539493,58100.1104476993,61493.5713851993,66626.1690414493
2026-02-23,Gujarat,58537.12,-861.1903335507012,50889.0206039493,53009.9268539493,57675.9307601993,61917.7549789493,66626.1690414493
2026-03-02,Gujarat,58961.305,-861.1903335507012,49574.0557601993,52479.7002914493,58100.1143539493,61917.7549789493,67092.7706039493
2026-03-09,Gujarat,57900.848,-2922.425621183698,46240.2735975663,50100.3282850663,54978.4220350663,59538.3829725663,66219.24625381631
2026-03-16,Gujarat,57264.574,-664.5254788473,49728.3026461527,52782.4120211527,56600.0487399027,62220.4667086527,68943.7557711527
2026-03-23,Gujarat,57476.664,-733.8666760209996,48853.016136479004,52288.887230229004,56742.797386479004,62469.258323979004,68407.805198979
2026-03-30,Gujarat,57688.758,-543.3839799258126,49043.49883257419,52055.19023882419,57145.37383257419,63508.10430132419,68301.36602007419
2026-04-06,Gujarat,58749.21,-1307.9143451351333,47897.202842364866,51184.612998614866,57441.296592364866,62425.437217364866,71312.04659236487
2026-04-13,Gujarat,58749.21,-861.1903335507012,48640.8565414493,52055.5206039493,57888.0206039493,61599.6182601993,71292.1690414493
2025-10-27,Haryana,50540.508,-211.25578023833893,49937.46296976166,50329.25203226166,50329.25203226166,50329.25203226166,50721.03718851166
2025-11-03,Haryana,50540.508,-55.94330614036753,50092.77544385963,50484.56450635963,50484.56450635963,50876.34966260963,50876.34966260963
2025-11-10,Haryana,50540.508,363.1611559904967,50511.8799059905,50805.7236559905,50903.6689684905,51295.4541247405,51687.2431872405
2025-11-17,Haryana,50540.508,-32.627251355709795,50076.91181114429,50507.88056114429,50507.88056114429,51291.45477989429,51291.45477989429
2025-11-24,Haryana,50932.293,-32.627251355709795,49724.30634239429,50507.88056114429,50899.66571739429,51291.45477989429,51683.24384239429
2025-12-01,Haryana,50932.293,-32.627251355709795,49724.30634239429,50507.88056114429,50899.66571739429,51291.45477989429,51683.24384239429
2025-12-08,Haryana,50932.293,-32.627251355709795,49724.30634239429,50116.09149864429,50899.66571739429,51291.45477989429,51683.24384239429
2025-12-15,Haryana,50932.293,-32.627251355709795,49332.52118614429,50116.09149864429,50899.66571739429,51683.24384239429,52075.02899864429
2025-12-22,Haryana,50932.293,-32.627251355709795,49685.12665489429,50116.09149864429,50899.66571739429,51683.24384239429,52466.81415489429
2025-12-29,Haryana,50932.293,-32.627251355709795,49332.52118614429,50116.09149864429,50899.66571739429,51683.24384239429,52466.81415489429
2026-01-05,Haryana,51324.082,-32.627251355709795,49332.52118614429,50116.09149864429,51291.45477989429,52075.02899864429,52545.16962364429
2026-01-12,Haryana,51324.082,-32.627251355709795,49332.52118614429,50116.09149864429,51291.45477989429,52075.02899864429,52897.78290489429
2026-01-05,Rajasthan,52187.832,-103.27737522389106,52084.55465602611,52084.55465602611,52084.55465602611,52476.94528102611,52476.94528102611
2026-01-12,Rajasthan,52187.832,-103.27737522389106,52084.55465602611,52084.55465602611,52084.55465602611,52476.94528102611,52869.33590602611
2026-01-19,Rajasthan,52187.832,-103.27737522389106,51692.16793727611,52084.55465602611,52084.55465602611,52476.94528102611,52869.33590602611
2026-01-26,Rajasthan,52580.223,-1217.5470749864714,50577.89823751353,50970.28495626353,51362.67558126353,51460.77323751353,52147.45292501353
2026-02-02,Rajasthan,52580.223,-1217.5470749864714,50577.89823751353,50970.28495626353,51362.67558126353,51755.06620626353,52147.45292501353
2026-02-09,Rajasthan,52580.223,-1217.5470749864714,50577.89823751353,50970.28495626353,51362.67558126353,51755.06620626353,52539.84355001353
2026-02-16,Rajasthan,52580.223,-1217.5470749864714,50577.89823751353,50970.28495626353,51362.67558126353,51755.06620626353,52539.84355001353
2026-02-23,Rajasthan,52580.223,-1217.5470749864714,50577.89823751353,50970.28495626353,51362.67558126353,52147.45292501353,52539.84355001353
2026-03-02,Rajasthan,52580.223,-1217.5470749864714,50577.89823751353,50970.28495626353,51362.67558126353,52147.45292501353,52932.23417501353
2026-03-09,Rajasthan,52580.223,-1212.9516493135716,50582.493663186426,50974.880381936426,51367.271006936426,52152.048350686426,52936.829600686426
2026-03-16,Rajasthan,52776.418,-2109.8254852490077,49685.619827250994,50078.006546000994,50666.592483500994,51647.565139750994,52432.342483500994
2026-03-23,Rajasthan,52972.613,130.01433025655137,51925.45964275655,52317.84636150655,53102.62761150655,53887.40495525655,54672.18229900655
2026-01-26,Madhya Pradesh,51928.312,1529.064740001152,49781.03739625115,51619.20927125115,53457.37724000115,56789.06083375115,60856.01005250115
2026-02-02,Madhya Pradesh,53306.94,1529.064740001152,50148.67020875115,52078.74833375115,54836.00614625115,60465.40067750115,65910.97880250115
2026-02-09,Madhya Pradesh,54226.027,1978.2510695316005,50230.2237257816,53332.1338820316,56204.2784132816,65395.1260695316,68657.8838820316
2026-02-16,Madhya Pradesh,55145.11,-1686.3240348395943,46060.15252766041,49667.55877766041,53458.78534016041,61845.43768391041,66785.52752766041
2026-02-23,Madhya Pradesh,55834.426,-1686.3240348395943,46060.15252766041,49322.90252766041,54148.10174641041,59547.73065266041,66877.43377766041
2026-03-02,Madhya Pradesh,55604.652,-1686.3240348395943,46519.69549641041,49322.90252766041,53918.32830891041,59432.84393391041,66831.48065266041
2026-03-09,Madhya Pradesh,54226.027,3943.893413789203,48933.11607003921,54493.57700753921,58169.92075753921,67016.1121637892,74253.9090387892
2026-03-16,Madhya Pradesh,55145.11,-1537.4175395734408,43911.34808542656,49356.92230417656,53607.69183542656,60041.28949167656,67531.83246042657
2026-03-23,Madhya Pradesh,55604.652,3226.221451490622,48996.66676399062,54235.44801399062,58830.87379524062,67102.63942024062,72617.15113899062
2026-03-30,Madhya Pradesh,55145.11,-1330.602251671476,42693.57743582853,49678.62431082853,53814.50712332853,61626.73368582853,69760.63993582853
2026-04-06,Madhya Pradesh,56523.742,-3617.311604240911,41280.00089575909,46932.37198950909,52906.43058325909,59914.45011450909,69541.86027075909
2026-04-13,Madhya Pradesh,56753.51,-1949.1737368111428,42580.50595068886,48140.97079443886,54804.33798193886,62616.56063818886,69279.92782568885
