time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,et0_fao_evapotranspiration,shortwave_radiation_sum
2019-08-31,31.1,25.2,27.5,7.7,85,3.19,14.57
2019-09-01,29.8,24.4,26.6,17.6,88,3.14,14.9
2019-09-02,30.5,24.0,26.6,17.5,85,3.2,14.51
2019-09-03,31.9,25.0,27.4,6.0,86,3.71,17.58
2019-09-04,28.1,25.4,26.4,16.9,93,1.73,8.1
2019-09-05,28.4,24.8,26.0,46.2,93,1.6,7.43
2019-09-06,29.2,24.6,26.6,16.3,91,2.35,11.22
2019-09-07,29.9,25.3,27.1,20.3,90,2.62,12.36
2019-09-08,29.5,24.7,26.1,35.9,94,1.83,8.58
2019-09-09,30.9,24.9,27.2,11.3,89,2.63,12.0
2019-09-10,29.4,24.5,26.4,11.3,91,1.85,8.31
2019-09-11,28.5,24.4,26.1,20.5,92,1.65,7.44
2019-09-12,30.2,24.8,26.8,3.9,87,3.17,14.67
2019-09-13,29.5,24.8,26.9,0.2,86,2.13,8.05
2019-09-14,29.5,25.5,27.2,0.3,85,2.22,8.44
2019-09-15,28.2,25.4,26.6,0.2,87,1.56,5.12
2019-09-16,30.2,25.2,27.2,0.8,81,3.67,15.85
2019-09-17,31.1,24.5,27.2,0.7,83,3.5,15.54
2019-09-18,31.9,23.8,27.6,0.2,82,3.99,18.73
2019-09-19,32.3,25.1,28.2,1.0,85,3.49,15.45
2019-09-20,31.8,25.4,28.1,2.9,84,3.69,16.68
2019-09-21,30.7,25.4,27.0,6.7,87,2.8,13.12
2019-09-22,31.0,24.9,27.2,3.9,83,3.36,14.62
2019-09-23,31.6,24.2,27.6,0.3,78,4.21,19.48
2019-09-24,31.6,24.2,27.6,2.9,83,3.95,18.73
2019-09-25,31.2,24.9,27.7,5.2,85,3.66,17.57
2019-09-26,29.2,24.9,26.8,17.7,90,2.15,10.21
2019-09-27,29.2,24.3,25.9,22.8,92,2.04,9.63
2019-09-28,28.1,24.3,25.5,15.3,92,1.67,7.61
2019-09-29,25.5,24.0,24.6,133.1,94,0.78,2.51
2019-09-30,29.1,23.6,25.7,9.2,89,2.89,14.04
2019-10-01,29.6,24.5,26.4,3.9,89,2.8,13.66
2019-10-02,31.1,23.5,26.8,0.5,83,4.06,19.03
2019-10-03,30.9,23.3,26.6,0.2,83,3.89,18.39
2019-10-04,30.2,23.1,26.1,2.1,87,3.39,16.7
2019-10-05,30.8,23.0,26.0,2.6,87,3.75,18.62
2019-10-06,29.8,22.6,25.9,1.0,85,3.61,17.78
2019-10-07,30.5,22.5,26.5,0.7,82,3.98,19.02
2019-10-08,31.8,23.1,27.4,0.0,77,4.19,19.19
2019-10-09,32.0,22.9,27.6,0.0,75,4.19,19.13
2019-10-10,32.2,22.2,27.2,0.2,78,4.1,19.27
2019-10-11,32.2,23.5,27.7,0.0,71,4.1,18.54
2019-10-12,33.0,21.3,26.5,0.0,65,4.84,21.2
2019-10-13,33.6,21.4,26.9,0.0,57,5.22,20.9
2019-10-14,33.9,21.0,27.2,0.0,61,4.73,20.71
2019-10-15,33.9,22.0,27.6,0.0,61,4.74,19.63
2019-10-16,34.2,22.4,27.9,0.0,58,4.97,19.43
2019-10-17,34.2,22.3,27.8,0.0,56,5.04,19.63
2019-10-18,34.0,22.6,27.8,0.0,56,4.9,18.71
2019-10-19,33.8,23.6,27.9,0.0,60,5.02,18.57
2019-10-20,32.8,22.8,27.0,1.6,74,4.27,17.78
2019-10-21,32.3,22.8,27.3,0.0,67,4.72,18.19
2019-10-22,32.3,23.5,27.5,0.0,64,4.14,15.54
2019-10-23,32.5,23.0,27.2,0.0,66,5.09,19.86
2019-10-24,32.5,21.4,26.9,0.0,59,5.59,19.84
2019-10-25,32.8,20.5,26.5,0.0,45,6.25,19.79
2019-10-26,32.2,21.2,26.9,0.0,52,5.59,16.68
2019-10-27,30.8,24.6,26.5,0.6,74,2.76,9.08
2019-10-28,32.5,23.5,27.1,0.2,75,3.68,15.78
2019-10-29,33.3,22.8,26.9,4.4,78,3.71,16.12
2019-10-30,33.2,23.1,27.4,1.2,78,3.75,16.95
2019-10-31,33.5,24.0,28.2,0.0,72,3.97,16.66
2019-11-01,33.9,24.6,28.7,0.1,68,4.3,16.55
2019-11-02,29.8,23.8,26.5,5.7,79,2.81,12.56
2019-11-03,31.8,23.5,27.2,0.0,71,3.29,13.35
2019-11-04,31.5,23.5,26.7,0.6,76,3.03,13.98
2019-11-05,31.0,22.8,26.6,0.6,76,3.38,15.4
2019-11-06,32.0,22.3,26.6,0.1,74,3.47,14.95
2019-11-07,31.3,23.8,26.5,0.8,69,3.31,14.76
2019-11-08,30.5,21.1,25.6,0.0,54,5.09,17.58
2019-11-09,31.1,21.1,25.7,0.0,52,5.1,17.11
2019-11-10,31.4,21.5,26.3,0.0,59,4.14,16.08
2019-11-11,33.4,21.9,26.6,0.0,55,4.23,17.52
2019-11-12,32.6,21.0,26.4,0.0,59,4.06,16.41
2019-11-13,33.0,20.9,26.6,0.0,60,3.84,15.77
2019-11-14,31.5,21.9,25.7,7.3,68,3.07,13.8
2019-11-15,32.0,21.4,26.1,0.1,60,3.87,15.96
2019-11-16,31.4,21.0,25.8,0.0,63,4.11,16.02
2019-11-17,32.5,20.9,26.1,0.0,61,4.35,16.69
2019-11-18,31.2,20.2,25.1,0.0,63,3.73,15.31
2019-11-19,29.4,18.2,23.6,0.0,63,3.09,13.4
2019-11-20,29.7,18.5,23.8,0.0,62,3.67,16.05
2019-11-21,31.2,18.2,24.4,0.0,61,3.51,15.83
2019-11-22,32.5,18.9,25.5,0.0,63,3.87,16.59
2019-11-23,31.7,20.1,25.6,0.0,62,4.11,16.14
2019-11-24,31.4,19.6,25.1,0.0,61,3.91,16.38
2019-11-25,31.6,19.4,25.4,0.0,60,3.86,15.96
2019-11-26,31.6,19.6,25.6,0.0,60,4.16,15.89
2019-11-27,30.2,20.1,24.6,0.0,56,4.39,15.99
2019-11-28,29.1,18.1,23.0,0.0,48,4.57,16.27
2019-11-29,28.1,16.6,21.7,0.0,52,4.22,16.52
2019-11-30,28.3,15.6,21.6,0.0,62,3.73,16.51
2019-12-01,28.3,17.1,22.2,0.0,68,3.62,16.08
2019-12-02,29.6,17.1,23.0,0.0,61,4.06,16.2
2019-12-03,30.5,19.8,24.7,0.0,61,4.05,15.0
2019-12-04,29.8,21.1,25.3,0.2,64,3.54,12.69
2019-12-05,30.8,22.6,26.2,0.0,59,3.92,12.73
2019-12-06,27.4,21.8,24.4,0.0,53,2.84,6.38
2019-12-07,28.2,18.6,22.4,0.0,49,4.42,15.31
2019-12-08,28.4,14.4,20.8,0.0,53,4.06,16.24
2019-12-09,29.1,14.2,21.2,0.0,55,3.97,15.87
2019-12-10,29.0,15.1,21.1,0.0,56,3.89,15.96
2019-12-11,28.2,14.5,21.2,0.0,49,3.73,16.21
2019-12-12,27.5,15.9,21.3,0.0,81,2.84,12.9
2019-12-13,27.0,18.0,21.6,0.4,71,3.28,15.27
2019-12-14,26.4,14.9,20.0,0.0,58,3.8,15.84
2019-12-15,26.0,13.9,19.3,0.0,48,4.39,15.86
2019-12-16,24.5,13.2,18.3,0.0,46,4.42,15.95
