time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,et0_fao_evapotranspiration,shortwave_radiation_sum
2019-08-24,36.2,26.4,31.2,0.2,68,5.09,20.31
2019-08-25,33.8,27.2,30.1,0.9,77,4.03,15.74
2019-08-26,34.0,26.9,29.9,2.1,75,4.51,18.63
2019-08-27,35.2,26.6,31.0,0.6,73,4.79,19.68
2019-08-28,36.8,27.6,32.5,0.0,66,5.57,20.64
2019-08-29,36.7,28.9,32.5,0.2,65,5.59,20.33
2019-08-30,36.5,28.8,32.6,0.5,65,4.89,18.99
2019-08-31,36.4,28.0,32.2,3.0,67,4.34,17.67
2019-09-01,36.2,27.1,30.6,7.7,76,4.46,17.78
2019-09-02,36.5,27.2,31.5,0.1,69,4.77,19.18
2019-09-03,36.0,28.6,32.4,0.7,64,4.26,16.99
2019-09-04,36.5,28.5,32.8,0.4,63,4.51,15.49
2019-09-05,36.0,27.6,32.0,1.0,68,4.98,18.3
2019-09-06,36.5,28.9,32.5,0.5,64,5.12,18.69
2019-09-07,35.8,29.2,32.4,0.4,65,4.74,16.18
2019-09-08,37.0,28.1,32.4,0.4,64,5.36,19.58
2019-09-09,40.0,28.5,33.9,0.0,55,6.11,20.91
2019-09-10,40.7,29.5,34.5,0.0,52,6.43,21.2
2019-09-11,42.0,29.7,35.4,0.0,49,6.55,21.32
2019-09-12,42.0,30.8,35.0,0.0,54,6.72,20.77
2019-09-13,39.3,29.0,33.6,0.0,60,5.95,19.11
2019-09-14,37.9,29.2,33.0,0.0,58,6.09,19.47
2019-09-15,36.8,28.1,32.5,0.0,60,5.43,18.93
2019-09-16,39.8,28.0,33.7,0.0,54,5.78,19.45
2019-09-17,38.7,30.1,33.4,0.5,56,5.73,18.57
2019-09-18,36.0,29.1,31.2,1.8,64,5.07,17.52
2019-09-19,34.0,26.5,29.9,0.0,64,5.5,19.18
2019-09-20,33.4,25.5,29.1,0.3,67,4.45,17.45
2019-09-21,33.7,26.2,29.6,3.5,67,4.22,16.97
2019-09-22,32.8,26.6,29.3,2.3,68,4.3,16.59
2019-09-23,33.5,25.1,29.3,0.1,64,4.82,18.41
2019-09-24,34.7,25.5,29.7,0.3,62,5.04,18.43
2019-09-25,35.0,26.1,30.4,0.0,62,5.36,18.35
2019-09-26,33.8,25.5,29.8,3.6,66,4.57,15.42
2019-09-27,34.3,26.0,29.8,0.0,62,4.94,17.11
2019-09-28,34.1,25.0,29.1,0.3,64,4.92,17.6
2019-09-29,32.0,24.9,27.7,0.1,69,3.86,14.04
2019-09-30,32.5,24.2,27.8,0.0,70,3.83,16.72
2019-10-01,33.0,23.6,28.2,0.0,66,4.49,17.47
2019-10-02,32.9,24.0,28.7,1.5,66,3.83,15.53
2019-10-03,35.6,24.5,28.7,2.4,64,3.94,17.14
2019-10-04,33.0,23.1,27.0,1.2,66,3.91,15.12
2019-10-05,34.2,23.0,28.0,0.0,52,4.74,16.71
2019-10-06,34.8,22.6,28.4,0.0,47,5.27,17.15
2019-10-07,34.0,24.4,28.4,0.0,51,4.88,16.07
2019-10-08,33.0,21.9,27.5,0.0,47,4.9,18.46
2019-10-09,33.7,22.2,27.7,0.0,43,4.31,15.29
2019-10-10,33.2,20.9,27.0,0.0,48,4.65,17.96
2019-10-11,34.0,20.8,27.5,0.0,47,4.68,17.0
2019-10-12,33.5,21.2,27.7,0.0,52,4.25,15.59
2019-10-13,34.6,22.1,28.0,0.0,49,4.74,16.35
2019-10-14,34.8,22.0,27.8,0.0,48,4.45,17.13
2019-10-15,35.1,22.5,28.3,0.0,47,4.39,16.32
2019-10-16,35.2,22.6,28.4,0.0,50,4.3,15.9
2019-10-17,34.5,23.0,28.0,0.0,53,4.43,15.49
2019-10-18,32.8,23.0,26.2,1.2,62,4.16,14.32
2019-10-19,32.5,20.9,25.8,0.0,58,4.21,15.9
2019-10-20,32.8,19.2,25.6,0.0,50,4.59,16.89
2019-10-21,31.8,19.5,25.1,0.0,52,4.62,16.89
2019-10-22,32.2,17.7,24.7,0.0,49,4.69,16.88
2019-10-23,32.5,18.5,25.0,0.0,51,4.32,16.64
2019-10-24,32.1,19.0,25.2,0.0,52,3.95,14.98
2019-10-25,31.9,19.9,25.0,0.0,55,3.85,15.27
2019-10-26,31.1,18.5,24.4,0.0,57,3.89,16.04
2019-10-27,31.9,18.6,24.8,0.0,54,4.19,16.05
2019-10-28,31.5,17.6,24.9,0.0,57,3.61,15.78
2019-10-29,30.5,19.0,25.1,0.0,59,2.53,11.52
2019-10-30,31.8,20.7,25.7,0.0,58,3.22,12.36
2019-10-31,31.9,18.5,24.9,0.0,60,3.67,15.21
2019-11-01,31.5,18.8,25.0,0.0,59,3.67,14.14
2019-11-02,27.9,18.9,22.6,0.0,73,2.49,9.76
2019-11-03,28.0,18.0,22.9,0.0,71,2.69,11.11
2019-11-04,29.1,18.1,23.0,0.0,64,3.57,14.11
2019-11-05,29.8,17.1,22.5,0.0,60,3.74,14.81
2019-11-06,30.5,17.8,23.9,0.0,54,3.85,13.69
2019-11-07,24.8,18.4,20.8,7.1,74,2.28,9.03
2019-11-08,26.2,16.0,21.0,0.0,72,2.85,12.88
2019-11-09,27.1,16.0,20.6,0.0,62,3.35,14.35
2019-11-10,26.6,14.8,19.7,0.0,56,3.08,12.79
2019-11-11,25.3,14.1,18.5,0.0,57,2.9,12.75
2019-11-12,26.5,12.2,19.0,0.0,60,2.92,13.92
2019-11-13,26.8,14.6,20.0,0.0,68,2.33,10.63
2019-11-14,25.2,16.8,20.4,0.0,70,2.05,6.54
2019-11-15,26.5,16.9,20.9,0.1,71,2.45,10.17
2019-11-16,27.1,16.8,21.2,0.0,69,3.13,12.9
2019-11-17,26.9,16.4,20.7,0.0,67,3.26,13.37
2019-11-18,25.9,15.1,19.4,0.0,68,3.01,13.41
2019-11-19,26.0,13.8,19.3,0.0,70,2.84,13.32
2019-11-20,26.0,12.3,18.7,0.0,62,2.7,13.21
2019-11-21,26.3,13.5,19.6,0.0,63,2.65,11.37
2019-11-22,26.5,14.6,20.4,0.0,64,2.42,10.76
2019-11-23,26.6,16.1,20.6,0.8,61,2.67,10.47
2019-11-24,26.4,14.9,19.8,0.0,66,2.69,12.1
2019-11-25,25.6,14.3,19.5,0.0,67,2.49,12.59
2019-11-26,22.4,16.1,18.7,7.7,79,1.77,8.34
2019-11-27,22.1,14.9,18.1,13.2,85,1.83,9.49
2019-11-28,22.2,15.8,18.3,11.0,84,1.94,10.04
2019-11-29,21.9,15.3,17.8,3.2,84,1.67,9.01
2019-11-30,21.6,13.0,16.8,0.0,76,2.02,11.2
2019-12-01,21.9,9.8,15.0,0.0,74,2.28,12.72
2019-12-02,22.8,9.9,15.2,0.0,67,2.62,12.77
2019-12-03,23.5,9.1,14.8,0.0,62,2.7,12.87
2019-12-04,23.2,8.1,15.5,0.0,64,2.27,12.51
2019-12-05,22.0,8.1,14.3,0.0,75,2.1,11.84
