time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,et0_fao_evapotranspiration,shortwave_radiation_sum
2019-09-14,25.4,22.8,23.7,29.6,93,1.57,7.77
2019-09-15,26.1,22.5,23.7,16.0,93,1.67,8.67
2019-09-16,27.3,22.8,24.5,9.1,91,2.41,12.33
2019-09-17,29.5,23.0,25.5,2.1,88,2.68,12.46
2019-09-18,29.1,23.2,25.8,3.5,85,3.07,14.21
2019-09-19,28.0,23.0,25.1,7.5,89,2.67,12.91
2019-09-20,28.2,22.9,24.9,7.7,89,3.1,15.6
2019-09-21,28.0,22.1,24.8,7.2,89,3.12,15.93
2019-09-22,28.5,22.6,25.3,4.9,87,3.49,17.26
2019-09-23,28.5,22.0,24.7,4.9,89,2.77,13.69
2019-09-24,28.9,21.8,25.1,0.8,87,3.17,15.51
2019-09-25,26.8,22.5,24.4,9.5,92,2.08,10.52
2019-09-26,27.2,22.6,24.3,5.9,91,2.05,9.95
2019-09-27,27.0,22.6,24.1,14.9,91,2.25,11.2
2019-09-28,27.4,22.2,23.9,5.3,89,2.51,12.51
2019-09-29,28.5,21.7,24.0,10.9,88,3.17,16.12
2019-09-30,28.9,20.6,24.1,8.2,85,3.78,19.09
2019-10-01,25.6,22.0,23.5,5.0,88,2.63,13.95
2019-10-02,28.5,22.1,24.4,1.3,87,3.36,16.8
2019-10-03,27.6,21.5,24.1,15.5,89,3.01,15.39
2019-10-04,28.6,21.0,24.3,2.9,87,3.56,17.96
2019-10-05,28.5,21.1,24.3,2.6,85,3.55,17.8
2019-10-06,27.9,21.4,24.2,5.0,85,3.12,15.84
2019-10-07,28.1,21.1,24.0,0.8,86,2.62,12.55
2019-10-08,29.0,20.8,24.6,0.1,81,3.89,19.09
2019-10-09,28.7,20.4,24.6,0.0,76,3.89,18.69
2019-10-10,28.9,20.5,24.7,0.5,78,3.78,18.31
2019-10-11,28.7,20.6,24.6,0.6,76,3.67,18.08
2019-10-12,29.6,19.6,23.9,0.0,68,4.57,20.88
2019-10-13,30.2,18.6,24.1,0.0,60,4.86,21.61
2019-10-14,30.5,19.3,24.8,0.0,62,4.22,19.6
2019-10-15,31.0,19.4,24.9,0.0,60,4.83,20.24
2019-10-16,30.9,19.1,24.7,0.0,59,5.01,20.52
2019-10-17,30.1,18.3,24.1,0.0,65,4.39,19.45
2019-10-18,30.2,19.1,24.6,0.0,65,4.08,18.44
2019-10-19,26.7,21.4,24.0,0.2,75,2.36,9.52
2019-10-20,26.5,20.9,23.0,0.1,75,2.36,8.93
2019-10-21,26.3,19.4,22.7,0.0,71,2.39,8.89
2019-10-22,25.4,19.6,22.4,1.1,79,2.3,9.53
2019-10-23,25.1,19.3,21.1,2.7,79,2.33,10.3
2019-10-24,28.8,18.8,22.9,0.0,68,4.07,18.4
2019-10-25,28.7,19.4,23.2,0.0,68,3.89,16.48
2019-10-26,27.1,20.4,23.1,0.3,74,3.59,15.52
2019-10-27,25.0,20.7,22.1,8.9,91,1.17,5.26
2019-10-28,27.6,20.1,23.1,5.2,87,2.45,12.07
2019-10-29,28.4,19.4,23.2,10.6,89,2.75,13.72
2019-10-30,28.3,20.4,24.0,3.5,82,3.11,15.05
2019-10-31,29.2,20.5,24.2,4.9,82,3.31,16.29
2019-11-01,28.6,21.1,24.4,0.0,77,3.41,15.74
2019-11-02,23.7,20.9,22.4,8.5,90,1.14,4.94
2019-11-03,26.4,20.3,22.7,23.5,88,2.28,11.51
2019-11-04,28.2,20.0,23.4,0.0,82,3.17,15.33
2019-11-05,27.8,18.8,23.1,0.3,80,3.15,15.74
2019-11-06,27.8,19.9,23.8,0.1,75,2.95,14.13
2019-11-07,28.0,20.8,23.5,0.9,82,2.92,13.79
2019-11-08,27.7,19.9,23.5,2.4,82,2.98,14.75
2019-11-09,27.5,20.3,23.3,0.0,76,2.96,13.73
2019-11-10,28.0,19.0,23.0,0.0,72,3.43,16.81
2019-11-11,27.8,18.5,22.9,0.0,71,3.45,16.1
2019-11-12,27.6,18.8,22.9,0.0,72,3.12,14.16
2019-11-13,27.5,18.5,22.8,0.0,70,3.16,14.49
2019-11-14,27.4,17.6,21.9,0.0,62,3.99,17.65
2019-11-15,27.5,16.0,21.3,0.0,61,3.83,17.54
2019-11-16,27.9,16.0,21.9,0.0,62,3.56,17.21
2019-11-17,28.0,16.6,21.8,0.0,61,3.89,17.22
2019-11-18,27.6,15.4,21.4,0.0,59,3.58,17.14
2019-11-19,27.3,16.4,21.8,0.0,62,3.48,16.4
2019-11-20,27.0,15.9,20.7,0.0,64,3.3,15.0
2019-11-21,27.4,15.2,21.1,0.0,64,3.55,16.16
2019-11-22,27.5,15.8,21.4,0.0,65,3.48,16.74
2019-11-23,27.5,15.8,21.7,0.0,66,3.25,15.84
2019-11-24,27.5,17.1,22.2,0.0,66,3.4,15.92
2019-11-25,27.8,17.5,22.2,0.0,67,3.52,15.69
2019-11-26,27.1,17.5,21.8,0.0,66,3.47,15.72
2019-11-27,28.6,17.9,22.6,0.0,65,3.7,15.79
2019-11-28,28.0,17.8,22.4,0.0,64,3.68,16.34
2019-11-29,28.6,15.6,22.3,0.0,62,3.37,15.62
2019-11-30,27.5,16.3,21.8,0.0,65,3.19,14.01
2019-12-01,27.1,17.9,22.0,0.3,66,3.16,13.68
2019-12-02,26.0,17.5,21.3,0.8,76,2.66,12.88
2019-12-03,26.0,16.6,20.9,0.1,73,2.8,13.25
2019-12-04,27.3,16.3,21.2,0.0,69,3.27,14.88
2019-12-05,27.0,16.5,21.1,0.0,54,3.79,14.64
2019-12-06,24.6,13.6,19.2,0.0,49,3.76,14.55
2019-12-07,25.4,14.5,19.0,0.0,58,3.35,14.83
2019-12-08,25.9,13.2,18.7,0.0,65,3.24,15.88
2019-12-09,26.5,13.4,19.5,0.0,70,3.01,15.62
2019-12-10,26.8,13.8,20.0,0.0,68,3.06,15.65
2019-12-11,27.6,15.3,21.0,0.0,69,3.16,14.3
2019-12-12,25.4,16.5,20.7,1.3,71,2.83,12.16
2019-12-13,24.9,14.9,19.6,0.1,62,3.15,13.09
2019-12-14,25.1,13.4,19.0,0.0,70,2.92,14.6
2019-12-15,24.0,13.5,17.9,0.0,72,2.81,13.76
2019-12-16,21.8,11.6,16.4,0.0,74,2.2,11.13
2019-12-17,22.2,10.9,15.9,0.0,71,2.95,15.41
2019-12-18,23.9,10.4,16.6,0.0,79,2.55,14.09
2019-12-19,25.2,11.6,18.4,0.0,79,2.8,14.71
2019-12-20,26.0,13.8,19.5,0.0,76,2.91,15.11
2019-12-21,26.9,15.0,20.5,0.2,73,2.87,14.34
2019-12-22,25.1,14.9,19.6,0.1,75,2.55,12.83
2019-12-23,25.0,14.4,19.2,0.4,70,2.41,10.37
2019-12-24,25.1,16.8,20.1,1.3,78,2.32,10.49
2019-12-25,23.1,15.9,19.3,0.9,86,1.96,10.29
2019-12-26,22.6,13.1,17.2,0.0,71,2.98,14.77
2019-12-27,20.5,8.4,14.0,0.0,46,3.8,16.72
2019-12-28,21.6,7.4,13.7,0.0,44,3.72,16.7
2019-12-29,22.5,8.6,15.1,0.0,48,3.44,14.88
2019-12-30,22.6,11.7,16.9,0.0,52,3.42,14.45
2019-12-31,21.5,13.6,17.1,0.0,68,2.58,11.36
2020-01-01,22.8,13.1,17.1,1.1,82,2.19,11.64
2020-01-02,21.9,13.8,17.4,0.4,86,1.95,10.94
2020-01-03,21.9,11.9,16.2,0.0,75,2.81,15.8
2020-01-04,21.0,11.2,15.3,0.0,71,2.53,13.71
2020-01-05,21.2,9.3,14.6,0.0,70,2.99,16.25
2020-01-06,23.2,11.5,16.0,0.0,62,3.34,16.17
2020-01-07,25.8,13.9,19.3,0.0,66,3.15,13.75
2020-01-08,24.5,14.4,18.9,1.3,73,2.94,13.19
2020-01-09,20.2,10.0,14.4,0.0,62,3.26,16.78
2020-01-10,20.0,6.8,12.5,0.0,60,3.23,17.08
2020-01-11,23.2,7.5,14.8,0.0,62,3.17,16.34
2020-01-12,25.4,11.6,17.8,0.0,61,3.21,16.19
2020-01-13,26.6,14.7,20.1,0.0,64,3.73,15.93
2020-01-14,24.0,14.5,18.7,0.6,79,2.35,12.01
2020-01-15,24.6,13.9,18.8,0.7,82,2.49,12.32
2020-01-16,21.9,11.9,16.9,1.0,66,3.22,15.45
2020-01-17,20.5,8.8,14.6,0.0,72,2.87,16.6
2020-01-18,22.0,9.9,15.3,0.0,72,3.08,17.18
2020-01-19,21.6,10.4,15.0,0.0,64,3.33,17.21
2020-01-20,22.2,8.1,14.7,0.0,71,3.0,17.25
2020-01-21,26.2,13.0,19.1,0.7,73,3.25,15.44
2020-01-22,26.5,15.1,20.1,0.2,80,2.93,14.43
2020-01-23,23.0,12.8,17.0,0.0,67,3.46,17.34
2020-01-24,24.7,10.1,16.9,0.0,62,3.4,17.59
2020-01-25,25.2,10.6,17.8,0.0,66,3.34,17.26
2020-01-26,25.9,11.9,18.9,0.0,67,3.38,17.49
2020-01-27,27.9,15.8,20.9,0.0,57,4.43,17.14
2020-01-28,24.2,13.8,18.5,0.0,65,3.6,15.57
2020-01-29,22.1,11.8,16.7,0.0,63,3.03,14.8
2020-01-30,22.0,10.2,15.6,0.0,58,3.54,18.21
2020-01-31,22.6,10.0,15.9,0.0,56,3.63,18.58
2020-02-01,23.0,10.5,16.3,0.0,55,3.92,18.77
2020-02-02,23.8,10.6,16.8,0.0,50,4.16,18.77
2020-02-03,24.9,12.9,18.1,0.1,62,3.42,15.94
2020-02-04,26.5,13.0,19.2,0.0,62,3.87,17.49
2020-02-05,25.1,11.0,18.0,0.0,60,3.81,18.97
2020-02-06,25.9,12.9,19.0,0.0,59,3.79,17.14
2020-02-07,24.8,12.6,18.4,0.0,60,3.74,16.74
2020-02-08,23.5,11.4,16.9,0.0,50,4.62,19.72
2020-02-09,23.4,10.5,16.0,0.0,45,4.49,20.28
2020-02-10,25.0,10.4,17.5,0.0,54,4.1,19.08
2020-02-11,26.1,13.6,19.9,0.0,60,3.7,16.8
2020-02-12,27.8,14.2,20.9,0.0,59,4.07,19.79
2020-02-13,29.5,15.2,21.9,0.0,52,4.67,19.99
2020-02-14,28.9,12.6,20.6,0.0,49,4.65,20.53
2020-02-15,29.1,13.6,21.2,0.0,51,4.44,20.09
2020-02-16,29.1,13.9,21.0,0.0,41,5.0,20.89
2020-02-17,29.8,14.1,21.4,0.0,35,5.36,20.82
2020-02-18,30.1,12.9,21.6,0.0,35,5.14,21.37
2020-02-19,31.0,16.9,23.4,0.0,34,5.76,20.29
2020-02-20,31.6,18.4,25.0,0.0,41,5.89,20.7
2020-02-21,30.1,16.9,23.6,0.0,39,5.09,21.03
2020-02-22,29.5,16.1,22.5,0.0,48,5.07,21.03
2020-02-23,30.2,15.7,22.7,0.0,50,5.31,20.7
2020-02-24,27.7,14.8,21.2,0.0,50,5.14,21.52
2020-02-25,27.5,13.4,20.4,0.0,47,5.02,21.7
2020-02-26,28.5,14.4,21.7,0.0,40,4.99,21.72
2020-02-27,30.2,16.1,23.2,0.0,39,5.02,21.55
2020-02-28,30.8,18.1,24.4,0.0,35,6.05,21.47
2020-02-29,30.2,19.9,24.1,0.0,41,4.62,12.1
2020-03-01,30.7,19.2,24.4,0.0,42,5.32,17.52
2020-03-02,31.1,16.9,23.9,0.0,35,5.98,22.31
2020-03-03,30.8,15.9,23.4,0.0,33,6.12,22.52
2020-03-04,29.4,16.7,23.1,0.0,38,5.99,21.73
2020-03-05,27.9,16.9,22.1,0.0,38,5.35,19.49
2020-03-06,27.2,16.2,21.4,0.3,53,5.19,18.71
2020-03-07,27.4,13.9,20.8,0.0,42,5.1,23.03
