time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,et0_fao_evapotranspiration,shortwave_radiation_sum
2019-09-14,30.0,23.5,26.2,1.7,85,3.73,17.96
2019-09-15,29.9,23.6,26.5,3.5,85,3.61,17.14
2019-09-16,29.3,24.4,26.1,7.3,88,2.93,14.44
2019-09-17,30.4,24.1,26.3,11.6,88,2.88,13.68
2019-09-18,29.9,23.8,26.3,6.7,90,2.83,13.68
2019-09-19,30.2,23.8,26.1,27.6,89,3.17,15.4
2019-09-20,29.5,23.4,26.0,12.0,89,2.94,14.43
2019-09-21,29.0,22.9,26.0,7.6,89,2.61,12.55
2019-09-22,29.9,23.2,26.2,4.2,89,3.13,15.33
2019-09-23,29.8,23.7,26.7,8.6,89,3.53,17.37
2019-09-24,28.2,24.0,26.0,25.0,90,2.53,12.55
2019-09-25,27.7,23.6,25.1,15.4,92,1.89,8.9
2019-09-26,28.0,23.9,25.3,21.9,89,1.86,8.54
2019-09-27,29.5,24.0,26.0,4.1,85,3.02,14.17
2019-09-28,26.4,23.8,25.0,7.5,92,1.52,7.32
2019-09-29,28.2,23.8,25.6,5.9,89,2.16,10.23
2019-09-30,30.0,23.1,26.0,2.2,87,3.56,17.56
2019-10-01,30.4,23.5,26.6,2.9,85,3.82,18.27
2019-10-02,30.4,23.5,26.6,0.8,80,4.01,19.04
2019-10-03,30.8,22.6,25.9,0.5,83,3.91,19.02
2019-10-04,30.8,22.4,26.2,0.3,81,4.11,19.62
2019-10-05,30.9,22.7,26.7,0.2,78,4.15,19.98
2019-10-06,31.1,22.7,26.7,1.3,81,4.22,20.34
2019-10-07,30.8,22.8,26.6,1.2,81,4.07,19.6
2019-10-08,31.0,22.5,26.5,0.0,75,4.42,20.52
2019-10-09,30.2,22.2,26.2,0.1,77,3.83,18.45
2019-10-10,31.1,21.8,26.4,0.0,74,4.35,20.64
2019-10-11,31.1,21.2,26.5,0.0,70,4.21,20.03
2019-10-12,30.8,21.5,26.1,0.0,74,4.14,19.24
2019-10-13,31.0,21.5,26.4,0.0,74,4.16,19.37
2019-10-14,31.9,21.2,26.1,0.0,64,4.77,21.51
2019-10-15,31.5,19.8,25.7,0.0,64,4.53,20.4
2019-10-16,31.2,20.8,25.5,0.0,70,4.19,19.0
2019-10-17,31.5,20.7,26.0,0.0,69,4.56,20.88
2019-10-18,28.5,21.5,24.7,8.6,85,2.57,12.38
2019-10-19,28.5,22.5,25.1,0.6,84,2.14,9.39
2019-10-20,27.6,22.4,24.4,5.4,85,1.97,8.75
2019-10-21,28.1,21.9,24.5,1.0,83,2.2,9.93
2019-10-22,29.9,22.0,25.3,0.7,81,3.4,16.15
2019-10-23,30.1,21.9,25.6,1.1,76,3.58,16.16
2019-10-24,30.0,22.0,25.4,0.0,70,3.2,12.52
2019-10-25,28.4,22.5,24.3,1.1,77,2.28,9.14
2019-10-26,28.2,22.0,24.5,11.2,83,2.27,10.19
2019-10-27,29.5,22.1,25.2,0.5,84,2.9,14.02
2019-10-28,27.9,22.0,24.8,0.2,85,2.07,9.45
2019-10-29,30.5,21.5,25.6,1.4,83,3.48,16.61
2019-10-30,31.1,21.8,25.5,6.5,85,3.59,17.21
2019-10-31,31.4,21.5,25.9,0.0,79,3.83,17.96
2019-11-01,29.6,22.1,25.6,0.1,80,3.19,14.94
2019-11-02,28.5,21.6,24.7,2.4,81,2.36,10.05
2019-11-03,31.6,20.2,26.0,0.0,70,3.82,18.03
2019-11-04,31.5,21.6,26.3,0.0,71,3.82,17.27
2019-11-05,31.4,21.2,25.9,0.0,69,3.81,17.05
2019-11-06,29.9,20.9,25.4,0.6,75,3.09,14.87
2019-11-07,30.8,21.2,25.9,0.1,72,3.23,14.99
2019-11-08,31.0,21.4,25.9,0.6,75,3.5,16.55
2019-11-09,31.8,20.8,25.9,0.0,61,4.46,18.09
2019-11-10,31.1,20.0,25.1,0.0,65,4.0,18.24
2019-11-11,31.0,19.6,24.8,0.0,65,4.01,18.09
2019-11-12,30.8,18.4,24.3,0.0,63,4.01,18.26
2019-11-13,30.3,17.4,23.2,0.0,62,4.13,18.29
2019-11-14,29.6,16.5,22.6,0.0,61,4.2,18.48
2019-11-15,29.5,16.6,22.9,0.0,61,3.76,17.75
2019-11-16,29.9,17.2,23.5,0.0,62,3.66,17.56
2019-11-17,30.5,18.5,24.0,0.0,63,3.96,17.47
2019-11-18,30.2,17.2,23.2,0.0,62,4.0,17.39
2019-11-19,29.9,16.2,22.9,0.0,65,3.67,17.63
2019-11-20,29.6,17.0,22.8,0.0,64,3.68,16.93
2019-11-21,29.4,17.0,23.1,0.0,63,3.63,17.43
2019-11-22,29.4,16.9,23.0,0.0,67,3.49,17.37
2019-11-23,29.5,17.0,23.2,0.0,66,3.52,17.27
2019-11-24,29.5,16.9,23.0,0.0,65,3.42,17.05
2019-11-25,29.1,16.9,22.4,0.0,68,3.43,15.75
2019-11-26,29.9,16.3,22.5,0.0,69,3.6,16.95
2019-11-27,29.9,16.8,22.5,0.0,72,3.51,16.96
2019-11-28,29.8,17.1,23.1,0.0,71,3.41,16.53
2019-11-29,29.5,17.5,23.5,0.0,69,3.4,16.54
2019-11-30,29.3,17.5,22.8,0.0,72,3.43,16.53
2019-12-01,29.5,17.3,22.7,0.0,71,3.37,15.99
2019-12-02,29.1,17.8,22.7,0.0,69,3.32,15.65
2019-12-03,28.5,17.9,22.6,0.0,70,3.25,15.3
2019-12-04,28.6,18.1,22.5,0.0,66,3.66,16.34
2019-12-05,27.1,15.6,20.6,0.0,56,3.57,16.51
2019-12-06,26.9,14.1,19.4,0.0,57,3.6,16.46
2019-12-07,26.8,13.7,19.9,0.0,62,3.31,16.23
2019-12-08,27.4,14.0,20.5,0.0,64,3.19,16.35
2019-12-09,27.6,14.1,20.9,0.0,65,3.17,16.51
2019-12-10,27.6,13.6,20.6,0.0,66,3.25,16.19
2019-12-11,28.0,14.7,21.0,0.0,70,3.1,16.07
2019-12-12,28.8,15.9,22.2,0.0,65,3.49,15.06
2019-12-13,27.9,19.3,22.6,2.8,72,2.96,13.33
2019-12-14,27.1,19.0,22.5,0.8,77,2.5,12.33
2019-12-15,26.1,19.0,21.4,3.9,84,2.43,12.3
2019-12-16,23.5,17.3,19.9,5.0,85,1.69,8.46
2019-12-17,26.0,16.0,20.3,0.0,76,2.91,14.83
2019-12-18,25.5,14.4,19.5,0.0,76,2.8,14.9
2019-12-19,26.2,15.3,20.9,0.0,72,2.97,14.59
2019-12-20,26.8,15.1,20.5,0.0,74,3.07,16.01
2019-12-21,27.5,15.2,20.7,0.0,72,3.07,15.8
2019-12-22,27.5,17.5,21.7,0.0,67,2.95,13.69
2019-12-23,27.7,17.8,22.1,0.0,63,3.26,14.48
2019-12-24,28.9,15.9,21.8,0.0,69,3.07,14.03
2019-12-25,28.4,17.5,22.9,0.4,71,3.03,13.68
2019-12-26,22.3,18.8,20.3,4.0,86,1.4,7.01
2019-12-27,23.1,12.3,17.3,0.0,44,4.12,16.89
2019-12-28,22.5,9.4,14.9,0.0,48,3.59,17.22
2019-12-29,23.0,7.7,15.0,0.0,53,3.24,16.39
2019-12-30,23.8,10.2,17.5,0.1,53,3.0,13.91
2019-12-31,18.6,16.4,17.4,11.5,74,1.8,8.31
2020-01-01,23.8,14.3,18.2,6.4,84,1.83,9.6
2020-01-02,21.6,15.3,17.9,10.9,88,1.71,9.3
2020-01-03,23.9,16.0,19.1,3.2,85,2.39,13.22
2020-01-04,22.9,15.9,19.0,0.9,82,2.18,11.48
2020-01-05,22.7,13.1,16.7,0.0,68,3.13,16.78
2020-01-06,23.5,10.4,16.2,0.0,73,3.0,16.82
2020-01-07,25.0,11.8,18.3,0.0,75,2.56,13.44
2020-01-08,23.1,17.6,19.4,26.2,91,1.4,7.26
2020-01-09,24.0,15.1,19.7,0.3,75,3.03,14.54
2020-01-10,21.7,11.0,15.3,0.0,66,3.22,17.28
2020-01-11,22.0,8.9,14.4,0.0,72,2.98,17.62
2020-01-12,23.6,9.6,16.1,0.0,69,3.05,17.32
2020-01-13,25.7,10.2,17.9,0.0,64,3.21,17.45
2020-01-14,26.6,11.6,18.9,0.0,68,3.2,16.93
2020-01-15,27.8,13.2,20.0,0.0,74,3.12,15.43
2020-01-16,26.4,16.4,20.8,0.0,72,2.96,13.98
2020-01-17,25.3,17.4,20.6,0.5,77,2.42,11.85
2020-01-18,25.9,16.9,20.5,0.3,80,2.69,13.92
