week,avg_candy_rate
2019-09-23,37062.879387228
2019-09-30,41726.14579758857
2019-10-07,37110.518081676004
2019-10-14,38593.55392354404
2019-10-21,38314.117511316064
2019-10-28,38329.860016970204
2019-11-04,38546.10152287017
2019-11-11,37966.12817766844
2019-11-18,38200.70952859206
2019-11-25,38701.55422747169
2019-12-02,38915.68682408147
2019-12-09,39181.977368681815
2019-12-16,39216.51685906801
2019-12-23,39315.651024042294
2019-12-30,39587.65413657067
2020-01-06,40195.45958377462
2020-01-13,40359.77776168766
2020-01-20,40382.198957473556
2020-01-27,39803.1184222154
2020-02-03,39602.916233154414
2020-02-10,39489.446114848615
2020-02-17,39474.83909916379
2020-02-24,39997.539826845576
2020-03-02,39457.15857363844
2020-03-09,39548.94305964353
2020-03-16,40750.0026732
2020-06-22,34700.00227632
2020-06-29,33815.002218263995
2020-07-06,33738.07913629477
2020-07-13,34574.0591670624
2020-07-20,34380.500121648
2020-07-27,34758.63864380291
2020-08-03,34460.72460368566
2020-08-10,35825.00235012
2020-08-17,36705.002407848
2020-08-24,37896.35217925208
2020-08-31,37363.563306312746
2020-09-07,40368.27356147903
2020-09-21,43425.73615178385
2020-09-28,55025.000053452
2020-10-05,54801.002883708
2020-10-12,55500.000084611995
2020-10-19,40122.47194345067
2020-10-26,40105.672930488494
2020-11-02,39947.4280509277
2020-11-09,40404.90567035775
2020-11-16,41945.36719158561
2020-11-23,42409.08559329677
2020-11-30,41486.10788268043
2020-12-07,42049.75659308611
2020-12-14,42230.942303909214
2020-12-21,42743.15289492973
2020-12-28,42497.2776240836
2021-01-04,45428.33810815215
2021-01-11,44478.69856411065
2021-01-18,44744.212852123186
2021-01-25,46027.44365168262
2021-02-01,44765.67123887819
2021-02-08,44631.2065524041
2021-02-15,45370.33596652401
2021-02-22,45372.85004187676
2021-03-01,46154.40518316133
2021-03-08,47055.68631275298
2021-03-15,47483.685042767764
2021-03-22,45722.028753077495
2021-03-29,52910.53824670409
2021-04-05,58598.706423973985
2021-04-12,57206.84995213081
2021-04-19,53245.00226923742
2021-04-26,65480.40397608803
2021-05-03,62752.88634192988
2021-05-10,59473.57091510559
2021-05-17,70337.42075693264
2021-05-24,80951.46791964171
2021-05-31,72758.01096315993
2021-06-07,73010.53152365505
2021-06-21,82727.7291434782
2021-06-28,82900.00188205199
2021-08-16,58446.00312282
2021-09-06,63877.56696481304
2021-09-13,104211.00256881601
2021-09-20,53515.79306702205
2021-09-27,55874.71435105083
2021-10-04,58531.730626613025
2021-10-11,59358.421959978994
2021-10-18,63199.3085555472
2021-10-25,65335.88400628026
2021-11-01,72233.03215406567
2021-11-08,70167.09387523965
2021-11-15,66675.12203864388
2021-11-22,65918.24773682229
2021-11-29,63864.9282768599
2021-12-06,65749.02996723242
2021-12-13,71533.19073601847
2021-12-20,69194.60731928326
2021-12-27,76046.008912758
2022-01-03,74455.95524594562
2022-01-10,75368.22219784847
2022-01-17,78778.24964208415
2022-01-24,78329.06695753406
2022-01-31,79195.61699382511
2022-02-07,83355.19161881786
2022-02-14,85783.02994600346
2022-02-21,85686.62549643547
2022-02-28,77559.34897333288
2022-03-07,78942.8899710012
2022-03-14,80920.05473256994
2022-03-21,86825.31350923577
2022-03-28,89034.79652993614
2022-04-04,92034.96592512904
2022-04-11,94007.0027006325
2022-04-18,94924.01100542494
2022-04-25,94461.20390704394
2022-05-02,97175.0082224999
2022-05-09,99718.93888396485
2022-05-16,100192.25808210525
2022-06-06,77479.52144112
2022-06-13,77479.52144112
2022-06-20,75130.1735667063
2022-06-27,80380.33704330788
2022-07-04,75954.90890665926
2022-07-11,66990.000838356
2022-07-18,65882.97543213087
2022-08-01,66900.000832452
2022-08-08,69294.02723234215
2022-08-22,77398.54765157981
2022-08-29,79279.93566683323
2022-09-05,77189.6164067303
2022-09-12,78542.33598419251
2022-09-26,62328.60064583933
2022-10-03,65477.002872816
2022-10-10,67881.23135748986
2022-10-17,67553.02799625463
2022-10-24,64639.354710376654
2022-10-31,63311.21314675902
2022-11-07,66207.93367263117
2022-11-14,67765.79883030293
2022-11-21,67956.54247740633
2022-11-28,67210.7283024718
2022-12-05,66015.7543984472
2022-12-12,66666.83865042543
2022-12-19,63602.86589392171
2022-12-26,57094.78341752146
2023-01-02,61434.30592920062
2023-01-09,62177.564831533185
2023-01-16,62141.64265450998
2023-01-23,61501.58538546152
2023-01-30,61941.75809178193
2023-02-06,63435.16420843918
2023-02-13,63581.01767795968
2023-02-20,63143.137698282924
2023-02-27,62230.13927236474
2023-03-06,61833.82511564184
2023-03-13,61683.68443649564
2023-03-20,60265.732499935664
2023-03-27,60412.71785160372
2023-04-03,62201.81610173024
2023-04-10,62654.0685282186
2023-04-17,62391.38138779312
2023-04-24,62413.92732864621
2023-05-01,62256.16122737068
2023-05-08,62391.15655248955
2023-05-15,59135.231869853036
2023-05-22,56774.543383124874
2023-05-29,61234.49971111232
2023-06-05,58284.53033768748
2023-06-12,57635.19839131757
2023-06-19,57375.72607114009
2023-06-26,56396.52153896122
2023-07-03,57441.538412396694
2023-07-10,55219.598204433976
2023-07-17,59869.13400405441
2023-07-24,60025.88743199558
2023-07-31,58762.13916160924
2023-08-07,60700.77578943174
2023-08-14,61813.95904989694
2023-08-21,60057.705915085906
2023-08-28,62620.453061009684
2023-09-11,67814.45582584255
2023-09-18,61239.24860010779
2023-09-25,59635.85540526057
2023-10-02,58995.69316860573
2023-10-09,57760.398759371805
2023-10-16,56668.55418620821
2023-10-23,56082.79933020065
2023-10-30,56128.57146877596
2023-11-06,55753.19061772387
2023-11-13,55840.16307402238
2023-11-20,55278.23442935799
2023-11-27,54154.23258405983
2023-12-04,54589.19600953997
2023-12-11,54114.25444333776
2023-12-18,54366.23167996815
2023-12-25,54777.107854458845
2024-01-01,55291.843099983605
2024-01-08,54400.82873323692
2024-01-15,54762.09839882125
2024-01-22,54893.19135267223
2024-01-29,56330.555085372565
2024-02-05,55331.455185302286
2024-02-12,55963.60161958891
2024-02-19,58705.10931019251
2024-02-26,63825.68456334828
2024-03-04,63761.53908810739
2024-03-11,60860.000436227994
2024-03-18,56818.053662509614
2024-04-15,60077.705194982664
2024-04-22,60988.786514580854
2024-04-29,60727.14450391989
2024-05-06,59307.97233751854
2024-05-13,59000.000314212004
2024-05-20,63488.002031100004
2024-05-27,87500.002183812
2024-06-03,60746.750962226986
2024-07-01,67285.71514346915
2024-07-08,63338.00202126
2024-07-22,58842.143160999425
2024-08-05,66000.000773412
2024-08-26,58504.223057096
2024-09-23,81630.95417975487
2024-10-07,56456.52026810201
2024-10-14,55615.48901962921
2024-10-21,55133.01183311139
2024-10-28,54391.55716426173
2024-11-04,55549.44753045495
2024-11-11,54782.520033763576
2024-11-18,54380.28688853683
2024-11-25,55143.675103247755
2024-12-02,54767.40506520733
2024-12-09,55365.1139566282
2024-12-16,56767.53720048982
2024-12-23,55712.20596448915
2024-12-30,54994.65525969201
2025-01-06,55347.955126210196
2025-01-13,56817.140741003466
2025-01-20,56463.863079938055
2025-01-27,53366.0737355226
2025-02-03,54204.68460431503
2025-02-10,53543.66462230484
2025-02-17,54309.30060541137
2025-02-24,53532.418329138556
2025-03-03,53068.48174216175
2025-03-10,54061.191076320996
2025-03-17,55450.30028355105
2025-03-24,62918.7355167528
2025-03-31,55845.62049741166
2025-04-21,55706.28425114971
2025-04-28,56753.54352993402
2025-05-05,55705.5119091172
2025-05-12,59841.17683998141
2025-05-19,55100.000058372
2025-05-26,55472.97315192519
2025-06-02,55269.76751136921
2025-06-09,55600.000091172
2025-06-23,54130.01064876521
2025-06-30,63500.000609411996
2025-07-14,58649.77901733201
2025-07-21,58194.737103492
2025-08-04,59686.95688101548
2025-08-11,58750.000297811996
2025-08-25,57831.405278706465
2025-09-15,58844.11795104494
2025-09-22,72293.23018130548
2025-10-20,54697.379412257345
2025-10-27,55400.000078052006
2025-11-03,48944.000365776
2025-11-10,54925.89291801198
2025-11-17,54241.21607546696
2025-11-24,53378.35265608256
2025-12-01,56224.928976229305
2025-12-08,59086.209423708
2025-12-15,55887.34997705166
2025-12-22,61894.38333118305
2025-12-29,60013.9688491968
2026-01-05,58000.65868367453
2026-01-12,59963.05139426562
2026-01-19,56923.340860771204
